"Story","Title","Result","Date","Stability","Duration (s)"
"Lookup a definition","Looking up the definition of 'apple'","SUCCESS","2020-09-20T13:38:32.1174295+07:00[Asia/Jakarta]","0.0","9.19"
"Lookup a definition","Looking up the definition of 'pear'","SUCCESS","2020-09-20T13:38:41.5677352+07:00[Asia/Jakarta]","0.0","7.6"
